,Batch,Fenotype,Fish,hist,bins
28,batch 3,WT,ZebraF_2,0.0,0.9166666666666666
29,batch 3,WT,ZebraF_3,18,0.0
29,batch 3,WT,ZebraF_3,1.6968273042453055,0.08333333333333333
29,batch 3,WT,ZebraF_3,0.5651690470095537,0.16666666666666666
29,batch 3,WT,ZebraF_3,0.20513263453812164,0.25
29,batch 3,WT,ZebraF_3,0.1142471729702807,0.3333333333333333
29,batch 3,WT,ZebraF_3,0.1106812253444068,0.41666666666666663
29,batch 3,WT,ZebraF_3,0.09778771413897072,0.5
29,batch 3,WT,ZebraF_3,0.18236925792295908,0.5833333333333333
29,batch 3,WT,ZebraF_3,0.4063826879351433,0.6666666666666666
29,batch 3,WT,ZebraF_3,1.0003299739913984,0.75
29,batch 3,WT,ZebraF_3,0.9294848108965492,0.8333333333333333
29,batch 3,WT,ZebraF_3,0.0,0.9166666666666666
30,batch 3,WT,ZebraF_4,18,0.0
30,batch 3,WT,ZebraF_4,1.0154159904896698,0.08333333333333333
30,batch 3,WT,ZebraF_4,1.154316363264467,0.16666666666666666
30,batch 3,WT,ZebraF_4,1.0337397553909362,0.25
30,batch 3,WT,ZebraF_4,0.8361427436052681,0.3333333333333333
30,batch 3,WT,ZebraF_4,0.7319773011905459,0.41666666666666663
30,batch 3,WT,ZebraF_4,1.045783453856392,0.5
30,batch 3,WT,ZebraF_4,1.2697389584180219,0.5833333333333333
30,batch 3,WT,ZebraF_4,0.8420312103309201,0.6666666666666666
30,batch 3,WT,ZebraF_4,0.9326533628092633,0.75
30,batch 3,WT,ZebraF_4,1.0081327705499883,0.8333333333333333
30,batch 3,WT,ZebraF_4,0.5574502405206051,0.9166666666666666
31,batch 3,WT,ZebraF_5,15,0.0
31,batch 3,WT,ZebraF_5,1.2147928811455038,0.08333333333333333
31,batch 3,WT,ZebraF_5,1.2177303194311904,0.16666666666666666
31,batch 3,WT,ZebraF_5,0.9354583617741928,0.25
31,batch 3,WT,ZebraF_5,0.9651886115978328,0.3333333333333333
31,batch 3,WT,ZebraF_5,0.7159713663457483,0.41666666666666663
31,batch 3,WT,ZebraF_5,0.7381994642471857,0.5
31,batch 3,WT,ZebraF_5,0.6745626743833969,0.5833333333333333
31,batch 3,WT,ZebraF_5,0.4479148147083395,0.6666666666666666
31,batch 3,WT,ZebraF_5,0.7504403621689705,0.75
31,batch 3,WT,ZebraF_5,0.5667429692312019,0.8333333333333333
31,batch 3,WT,ZebraF_5,0.0,0.9166666666666666
32,batch 3,WT,ZebraF_6,11,0.0
32,batch 3,WT,ZebraF_6,0.607535640175768,0.08333333333333333
32,batch 3,WT,ZebraF_6,0.5462425345920804,0.16666666666666666
32,batch 3,WT,ZebraF_6,0.4828250745346837,0.25
32,batch 3,WT,ZebraF_6,0.6613833578422401,0.3333333333333333
